"np","X","Y","UNIT_NAME","STATE","yr","abbrev","short","problem","percent"
"Acadia",-68.24410999,44.3507318,"Acadia National Park","ME",1919,"ACAD","Acadia","No",70
"Big Bend",-103.2294702,29.29725516,"Big Bend National Park","TX",1944,"BIBE","Big Bend","No",76.5
"Canyonlands",-109.8769622,38.24314039,"Canyonlands National Park","UT",1964,"CANY","Canyonlands","No",79.2
"Crater Lake",-122.1327472,42.94106575,"Crater Lake National Park","OR",1902,"CRLA","Crater Lake","No",74.3
"Cuyahoga Valley",-81.56904389,41.26123633,"Cuyahoga Valley National Park","OH",2000,"CUVA","Cuyahoga","No",65.9
"Denali",-152.4397427,63.47750715,"Denali National Preserve","AK",1917,"DENA","Denali","No",69.9
"Everglades",-80.88182401,25.37216762,"Everglades National Park","FL",1947,"EVER","Everglades","No",78.9
"Glacier",-113.8584101,48.74680027,"Glacier National Park","MT",1910,"GLAC","Glacier","No",71.4
"Grand Canyon",-112.185254,36.18654515,"Grand Canyon National Park","AZ",1919,"GRCA","Grand Canyon","No",66.3
"Great Smoky Mountains",-83.52627532,35.60927471,"Great Smoky Mountains National Park","NC",1934,"GRSM","Gr. Smoky Mtns","No",59.7
"Hawai'i Volcanoes",-155.6028551,19.37757748,"Hawai'i Volcanoes National Park","HI",1916,"HAVO","Hawai'i","No",53.5
"Mesa Verde",-108.5009289,37.22348339,"Mesa Verde National Park","CO",1906,"MEVE","Mesa Verde","No",67.3
"Theodore Roosevelt",-103.4592227,46.95359206,"Theodore Roosevelt National Park","ND",1978,"THRO","T. Roosevelt","No",67.1
"Wrangell-St. Elias",-142.1319886,60.69186128,"Wrangell-St. Elias National Park","AK",1980,"WRST","Wrangell","No",33.9
"Yellowstone",-110.5471962,44.59644456,"Yellowstone National Park","WY",1872,"YELL","Yellowstone","No",77.4
"Yosemite",-119.5571434,37.84831879,"Yosemite National Park","CA",1890,"YOSE","Yosemite","No",62.2
"Acadia",-68.24410999,44.3507318,"Acadia National Park","ME",1919,"ACAD","Acadia","Memorializes colonization",13
"Big Bend",-103.2294702,29.29725516,"Big Bend National Park","TX",1944,"BIBE","Big Bend","Memorializes colonization",11
"Canyonlands",-109.8769622,38.24314039,"Canyonlands National Park","UT",1964,"CANY","Canyonlands","Memorializes colonization",10
"Crater Lake",-122.1327472,42.94106575,"Crater Lake National Park","OR",1902,"CRLA","Crater Lake","Memorializes colonization",4.6
"Cuyahoga Valley",-81.56904389,41.26123633,"Cuyahoga Valley National Park","OH",2000,"CUVA","Cuyahoga","Memorializes colonization",19.8
"Denali",-152.4397427,63.47750715,"Denali National Preserve","AK",1917,"DENA","Denali","Memorializes colonization",14.3
"Everglades",-80.88182401,25.37216762,"Everglades National Park","FL",1947,"EVER","Everglades","Memorializes colonization",7.9
"Glacier",-113.8584101,48.74680027,"Glacier National Park","MT",1910,"GLAC","Glacier","Memorializes colonization",13.1
"Grand Canyon",-112.185254,36.18654515,"Grand Canyon National Park","AZ",1919,"GRCA","Grand Canyon","Memorializes colonization",2.4
"Great Smoky Mountains",-83.52627532,35.60927471,"Great Smoky Mountains National Park","NC",1934,"GRSM","Gr. Smoky Mtns","Memorializes colonization",16.1
"Hawai'i Volcanoes",-155.6028551,19.37757748,"Hawai'i Volcanoes National Park","HI",1916,"HAVO","Hawai'i","Memorializes colonization",3.5
"Mesa Verde",-108.5009289,37.22348339,"Mesa Verde National Park","CO",1906,"MEVE","Mesa Verde","Memorializes colonization",15.4
"Theodore Roosevelt",-103.4592227,46.95359206,"Theodore Roosevelt National Park","ND",1978,"THRO","T. Roosevelt","Memorializes colonization",15.8
"Wrangell-St. Elias",-142.1319886,60.69186128,"Wrangell-St. Elias National Park","AK",1980,"WRST","Wrangell","Memorializes colonization",13.6
