X,Y,OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,ORIG_FID,GlobalID
-155.5067587,19.13153705,842,ALKA,Loaded from Sandy Margriter's dataset,Ala Kahakai National Historic Trail,2013-12-18T00:00:00.000Z,HI,PW,2035608,National Historic Trail,Legacy, , ,8,8da72c0c-a42c-4dce-9e27-c8b8970d3ce8
-101.2959346,29.57479057,843,AMIS,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Amistad National Recreation Area,2013-12-18T00:00:00.000Z,TX,IM,1329499,National Recreation Area,Legacy, , ,9,d327638e-5c3b-4349-9f4e-ed81770f1b31
-80.38107677,37.35175454,844,APPA,Generated from APPA centerline (Casey Reese)  buffered 500 feet,Appalachian National Scenic Trail,2013-12-18T00:00:00.000Z,ME,NE,2766084,National Scenic Trail,Legacy, , ,10,da6dd1f8-dcd2-4531-890a-163be30d9e67
-75.24962442,38.03902729,845,ASIS,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Assateague Island National Seashore,2013-12-18T00:00:00.000Z,MD,NE,589056,National Seashore,Legacy, , ,11,8646b909-1b9b-4300-a65f-200e131b7178
-81.08115282,25.97043292,846,BICY,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Big Cypress National Preserve,2013-12-18T00:00:00.000Z,FL,SE,302659,National Preserve,Legacy, , ,12,4d274cd1-8087-4fd0-990a-cae9ced2ce31
-84.6651217,36.53466562,847,BISO,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Big South Fork National River and Recreation Area,2013-12-18T00:00:00.000Z,TN,SE,1309762,National River and Recreation Area,Legacy, , ,13,c0cf800f-9214-45a5-a069-6ad60a1c7906
-81.07056466,36.43649863,848,BLRI,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Blue Ridge Parkway,2013-12-18T00:00:00.000Z,NC,NT,1009494,Parkway,Legacy, , ,14,0183559b-4c72-4e85-9849-72f0b496c519
-80.96082027,37.58996388,849,BLUE,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Bluestone National Scenic River,2013-12-18T00:00:00.000Z,WV,NE,1877617,National Scenic River,Legacy, , ,15,60e71494-95a3-4146-8459-77b928317ae3
-75.53119353,35.24241198,850,CAHA,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Cape Hatteras National Seashore,2013-12-18T00:00:00.000Z,NC,SE,982628,National Seashore,Legacy, , ,16,13aa7816-e44a-4c57-8d4c-aba2da058731
-76.19003926,34.95824425,851,CALO,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Cape Lookout National Seashore,2013-12-18T00:00:00.000Z,NC,SE,1000889,National Seashore,Legacy, , ,17,f03fb3e0-0cd6-4a0a-8f91-d03add2314cb
-84.26676471,33.97241054,852,CHAT,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Chattahoochee River National Recreation Area,2013-12-18T00:00:00.000Z,GA,SE,1688073,National Recreation Area,Legacy, , ,18,89bb0118-ea19-460a-80c4-deda11d6f1cd
-85.25401191,34.91896903,853,CHCH,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Chickamauga and Chattanooga National Military Park,2013-12-18T00:00:00.000Z,GA,SE,330990,National Military Park,Legacy, , ,19,58927576-6bb9-4a2a-81e0-acff86fa8148
-77.94484191,39.5996516,854,CHOH,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Chesapeake and Ohio Canal National Historical Park,2013-12-18T00:00:00.000Z,DC,NC,583731,National Historical Park,Legacy, , ,20,3e7c3a09-14c7-4319-818d-b1e4bb846796
-81.45253385,30.85852664,855,CUIS,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Cumberland Island National Seashore,2013-12-18T00:00:00.000Z,GA,SE,325829,National Seashore,Legacy, , ,21,9d82a309-4f28-433e-bbe9-e9888fd0a430
-72.99435226,40.69182965,857,FIIS,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Fire Island National Seashore,2013-12-18T00:00:00.000Z,NY,NE,970121,National Seashore,Legacy, , ,23,c77d8e7f-512f-4c77-9826-9101a283188e
-75.70938761,35.93636827,858,FORA,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Fort Raleigh National Historic Site,2013-12-18T00:00:00.000Z,NC,SE,985324,National Historic Site,Legacy, , ,24,5c45765d-aa49-41f2-933e-0d4d6a7c6706
-81.004202,38.206142,859,GARI,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Gauley River National Recreation Area,2013-12-18T00:00:00.000Z,WV,NE,1741168,National Recreation Area,Legacy, , ,25,d0aeaf58-8aca-4680-a45c-40962a8680bd
-75.14692521,39.9453737,861,INDE,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Independence National Historical Park,2013-12-18T00:00:00.000Z,PA,NE,1177725,National Historical Park,Legacy, , ,27,6d49d9e5-d0dc-46fa-9605-61654b78dabe
-101.6970984,35.59585691,863,LAMR,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Lake Meredith National Recreation Area,2013-12-18T00:00:00.000Z,TX,IM,1384770,National Recreation Area,Legacy, , ,29,52e492d2-3abf-48d1-9fa2-72ecd6559a5d
-71.33094285,42.64646573,864,LOWE,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Lowell National Historical Park,2013-12-18T00:00:00.000Z,MA,NE,1888940,National Historical Park,Legacy, , ,30,03cc042b-fcf5-4341-a6ed-1c58cd4f498f
-92.93011156,44.77223486,865,MISS,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Mississippi National River and Recreation Area,2013-12-18T00:00:00.000Z,MN,MW,1888944,National River and Recreation Area,Legacy, , ,31,af433225-2bba-4e6c-ad47-1c164f4782a6
-116.2780221,45.79427929,866,NEPE,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Nez Perce National Historical Park,2013-12-18T00:00:00.000Z,WA,PW,394735,National Historical Park,Legacy, , ,32,d6e9368e-3b8b-4a69-ae95-61dcaa955aaf
-80.98970436,37.84026469,867,NERI,LEGACY: NPS Inventory and Monitoring Program Data from 2008,New River Gorge National River,2013-12-18T00:00:00.000Z,VA,NE,1877618,National River,Legacy, , ,33,2e176e17-fdb5-442d-9838-f00748dd9e73
-84.72244778,36.08458016,868,OBRI,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Obed Wild and Scenic River,2013-12-18T00:00:00.000Z,TN,SE,1309684,Wild and Scenic River,Legacy, , ,34,4d01e519-7384-412c-a644-1606f591744e
-91.40874101,32.63529845,869,POPO,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Poverty Point National Monument,2013-12-18T00:00:00.000Z,LA,SE,1888953,National Monument,Legacy, , ,35,b78cfe61-afb4-4e48-93c8-507d22306edc
-102.5289706,29.75755733,871,RIGR,Generated from NHDFlowline high resolution feature class,Rio Grande Wild and Scenic River,2013-12-18T00:00:00.000Z,TX,IM,2766087,Wild and Scenic River,Legacy, , ,37,a7ccddd4-332d-48e2-8f8c-5d5f793edc4b
-66.1174902,18.46884349,872,SAJU,LEGACY: NPS Inventory and Monitoring Program Data from 2008,San Juan National Historic Site,2013-12-18T00:00:00.000Z,PR,SE,1879024,National Historic Site,Legacy, , ,38,48f4c660-6246-4952-b763-ace601eb409d
