"ID","np","place","feature","type","is_natural","indig_or_wstrn","is_oipn","for_apeople","is_transl","class","erasure","problem","derog"
1,"Acadia","Abbe Museum","Infrastructure","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
2,"Acadia","Acadia","Park","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No","Place","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
3,"Acadia","Acadia Mountain","Mountain","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Place","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
4,"Acadia","Aunt Betty Pond","Lake","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
5,"Acadia","Baker Island","Island","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
6,"Acadia","Bald Peak","Mountain","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
7,"Acadia","Bald Porcupine Island","Island","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
8,"Acadia","Bar Island","Island","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
9,"Acadia","Bass Harbor Head Lighthouse","Infrastructure","Animal","Human-constructed","Western","NA - WPN","NA - WPN","No","Animal","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
10,"Acadia","Bass Harbor Marsh","Point of Interest or geologic formation","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
11,"Acadia","Beaver Dam Pond","Lake","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
12,"Acadia","Beech Mountain","Mountain","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
13,"Acadia","Bernard Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
14,"Acadia","Blackwoods Campground","Campground","Plant","Human-constructed","Western","NA - WPN","NA - WPN","No","Plant","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
15,"Acadia","Blueberry Hill (parking)","Infrastructure","Plant","Human-constructed","Western","NA - WPN","NA - WPN","No","Plant","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
16,"Acadia","Bowditch Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
17,"Acadia","Breakneck Ponds","Lake","Unknown","Natural","Western","NA - WPN","NA - WPN","No",NA,"Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
18,"Acadia","Bubble Pond","Lake","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
19,"Acadia","Buck Cove Mountain","Mountain","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
20,"Acadia","Cadillac Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Named for person who directly or used power to perpetrate violence against a group","No info - not likely, no evidence"
21,"Acadia","Carroll Homestead Interpretive Trail","Cultural heritage (Western)","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
