Title,Bookmark
Theodore Roosevelt NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1941,0,"33,628,613"
1942,0,"33,628,613"
1943,0,"33,628,613"
1944,0,"33,628,613"
1945,0,"33,628,613"
1946,0,"33,628,613"
1947,0,"33,628,613"
1948,"26,773","33,628,613"
1949,"82,810","33,628,613"
1950,"71,447","33,628,613"
1951,"81,590","33,628,613"
1952,"131,773","33,628,613"
1953,"120,804","33,628,613"
1954,"133,600","33,628,613"
1955,"125,100","33,628,613"
1956,"154,700","33,628,613"
1957,"129,100","33,628,613"
1958,"163,500","33,628,613"
1959,"182,300","33,628,613"
1960,"223,200","33,628,613"
1961,"235,600","33,628,613"
1962,"245,700","33,628,613"
1963,"237,500","33,628,613"
1964,"261,500","33,628,613"
1965,"233,600","33,628,613"
1966,"500,300","33,628,613"
1967,"555,800","33,628,613"
1968,"562,400","33,628,613"
1969,"658,700","33,628,613"
1970,"680,000","33,628,613"
1971,"707,200","33,628,613"
1972,"998,849","33,628,613"
1973,"849,700","33,628,613"
1974,"698,600","33,628,613"
1975,"800,900","33,628,613"
1976,"937,600","33,628,613"
1977,"828,400","33,628,613"
1978,"825,985","33,628,613"
1979,"591,646","33,628,613"
1980,"595,734","33,628,613"
1981,"702,873","33,628,613"
1982,"677,014","33,628,613"
1983,"415,118","33,628,613"
1984,"361,139","33,628,613"
1985,"377,152","33,628,613"
1986,"390,553","33,628,613"
1987,"424,846","33,628,613"
1988,"413,527","33,628,613"
1989,"459,171","33,628,613"
1990,"460,718","33,628,613"
1991,"468,926","33,628,613"
1992,"475,937","33,628,613"
1993,"475,160","33,628,613"
1994,"505,349","33,628,613"
1995,"460,699","33,628,613"
1996,"436,081","33,628,613"
1997,"393,265","33,628,613"
1998,"448,286","33,628,613"
1999,"431,311","33,628,613"
2000,"431,813","33,628,613"
2001,"446,609","33,628,613"
2002,"471,551","33,628,613"
2003,"490,295","33,628,613"
2004,"474,589","33,628,613"
2005,"493,198","33,628,613"
2006,"435,359","33,628,613"
2007,"456,588","33,628,613"
2008,"516,804","33,628,613"
2009,"586,928","33,628,613"
2010,"623,748","33,628,613"
2011,"563,407","33,628,613"
2012,"640,555","33,628,613"
2013,"545,090","33,628,613"
2014,"559,580","33,628,613"
2015,"580,033","33,628,613"
2016,"753,880","33,628,613"
2017,"708,003","33,628,613"
2018,"749,389","33,628,613"
2019,"691,658","33,628,613"

