Title,Bookmark
Yosemite NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1906,"5,414","203,173,748"
1907,"7,102","203,173,748"
1908,"8,850","203,173,748"
1909,"13,182","203,173,748"
1910,"13,619","203,173,748"
1911,"12,530","203,173,748"
1912,"10,884","203,173,748"
1913,"13,735","203,173,748"
1914,"15,145","203,173,748"
1915,"33,452","203,173,748"
1916,"33,390","203,173,748"
1917,"34,510","203,173,748"
1918,"33,527","203,173,748"
1919,"58,362","203,173,748"
1920,"68,906","203,173,748"
1921,"91,513","203,173,748"
1922,"100,506","203,173,748"
1923,"130,046","203,173,748"
1924,"105,894","203,173,748"
1925,"209,166","203,173,748"
1926,"274,209","203,173,748"
1927,"490,430","203,173,748"
1928,"460,619","203,173,748"
1929,"461,257","203,173,748"
1930,"458,566","203,173,748"
1931,"461,855","203,173,748"
1932,"498,289","203,173,748"
1933,"296,088","203,173,748"
1934,"309,431","203,173,748"
1935,"372,317","203,173,748"
1936,"431,192","203,173,748"
1937,"481,492","203,173,748"
1938,"443,325","203,173,748"
1939,"466,552","203,173,748"
1940,"506,781","203,173,748"
1941,"597,863","203,173,748"
1942,"319,816","203,173,748"
1943,"116,682","203,173,748"
1944,"120,494","203,173,748"
1945,"290,569","203,173,748"
1946,"640,483","203,173,748"
1947,"777,622","203,173,748"
1948,"745,899","203,173,748"
1949,"808,372","203,173,748"
1950,"820,953","203,173,748"
1951,"858,405","203,173,748"
1952,"973,971","203,173,748"
1953,"969,225","203,173,748"
1954,"1,008,000","203,173,748"
1955,"984,200","203,173,748"
1956,"1,114,200","203,173,748"
1957,"1,138,700","203,173,748"
1958,"1,139,300","203,173,748"
1959,"1,061,500","203,173,748"
1960,"1,150,400","203,173,748"
1961,"1,227,100","203,173,748"
1962,"1,505,500","203,173,748"
1963,"1,473,400","203,173,748"
1964,"1,547,000","203,173,748"
1965,"1,635,400","203,173,748"
1966,"1,817,100","203,173,748"
1967,"2,238,300","203,173,748"
1968,"2,281,100","203,173,748"
1969,"2,291,300","203,173,748"
1970,"2,277,200","203,173,748"
1971,"2,342,200","203,173,748"
1972,"2,190,301","203,173,748"
1973,"2,254,300","203,173,748"
1974,"2,274,600","203,173,748"
1975,"2,537,400","203,173,748"
1976,"2,682,400","203,173,748"
1977,"2,392,600","203,173,748"
1978,"2,569,268","203,173,748"
1979,"2,350,782","203,173,748"
1980,"2,490,282","203,173,748"
1981,"2,516,893","203,173,748"
1982,"2,415,587","203,173,748"
1983,"2,457,464","203,173,748"
1984,"2,738,467","203,173,748"
1985,"2,831,952","203,173,748"
1986,"2,876,717","203,173,748"
1987,"3,152,275","203,173,748"
1988,"3,216,681","203,173,748"
1989,"3,308,159","203,173,748"
1990,"3,124,939","203,173,748"
1991,"3,423,101","203,173,748"
1992,"3,819,518","203,173,748"
1993,"3,839,645","203,173,748"
1994,"3,962,117","203,173,748"
1995,"3,958,406","203,173,748"
1996,"4,046,207","203,173,748"
1997,"3,669,970","203,173,748"
1998,"3,657,132","203,173,748"
1999,"3,493,607","203,173,748"
2000,"3,400,903","203,173,748"
2001,"3,368,731","203,173,748"
2002,"3,361,867","203,173,748"
2003,"3,378,664","203,173,748"
2004,"3,280,911","203,173,748"
2005,"3,304,144","203,173,748"
2006,"3,242,644","203,173,748"
2007,"3,503,428","203,173,748"
2008,"3,431,514","203,173,748"
2009,"3,737,472","203,173,748"
2010,"3,901,408","203,173,748"
2011,"3,951,393","203,173,748"
2012,"3,853,404","203,173,748"
2013,"3,691,191","203,173,748"
2014,"3,882,642","203,173,748"
2015,"4,150,217","203,173,748"
2016,"5,028,868","203,173,748"
2017,"4,336,890","203,173,748"
2018,"4,009,436","203,173,748"
2019,"4,422,861","203,173,748"

