Title,Bookmark
Zion NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1919,"1,814","124,624,191"
1920,"3,692","124,624,191"
1921,"2,937","124,624,191"
1922,"4,109","124,624,191"
1923,"6,408","124,624,191"
1924,"8,400","124,624,191"
1925,"16,817","124,624,191"
1926,"21,964","124,624,191"
1927,"24,303","124,624,191"
1928,"30,016","124,624,191"
1929,"33,383","124,624,191"
1930,"55,297","124,624,191"
1931,"59,186","124,624,191"
1932,"51,650","124,624,191"
1933,"48,763","124,624,191"
1934,"68,801","124,624,191"
1935,"97,280","124,624,191"
1936,"124,393","124,624,191"
1937,"137,404","124,624,191"
1938,"149,075","124,624,191"
1939,"158,063","124,624,191"
1940,"165,029","124,624,191"
1941,"192,805","124,624,191"
1942,"68,797","124,624,191"
1943,"44,089","124,624,191"
1944,"42,243","124,624,191"
1945,"78,280","124,624,191"
1946,"212,280","124,624,191"
1947,"273,953","124,624,191"
1948,"297,571","124,624,191"
1949,"307,881","124,624,191"
1950,"323,402","124,624,191"
1951,"331,079","124,624,191"
1952,"352,921","124,624,191"
1953,"389,445","124,624,191"
1954,"416,800","124,624,191"
1955,"406,800","124,624,191"
1956,"421,200","124,624,191"
1957,"525,100","124,624,191"
1958,"590,700","124,624,191"
1959,"585,000","124,624,191"
1960,"575,800","124,624,191"
1961,"604,700","124,624,191"
1962,"622,100","124,624,191"
1963,"681,100","124,624,191"
1964,"705,200","124,624,191"
1965,"763,600","124,624,191"
1966,"815,200","124,624,191"
1967,"788,400","124,624,191"
1968,"877,100","124,624,191"
1969,"904,300","124,624,191"
1970,"903,600","124,624,191"
1971,"897,000","124,624,191"
1972,"889,417","124,624,191"
1973,"993,800","124,624,191"
1974,"859,300","124,624,191"
1975,"1,055,200","124,624,191"
1976,"1,090,000","124,624,191"
1977,"1,105,900","124,624,191"
1978,"1,193,212","124,624,191"
1979,"1,040,528","124,624,191"
1980,"1,123,846","124,624,191"
1981,"1,288,808","124,624,191"
1982,"1,246,290","124,624,191"
1983,"1,273,030","124,624,191"
1984,"1,377,254","124,624,191"
1985,"1,503,272","124,624,191"
1986,"1,670,503","124,624,191"
1987,"1,777,619","124,624,191"
1988,"1,948,332","124,624,191"
1989,"1,998,856","124,624,191"
1990,"2,102,400","124,624,191"
1991,"2,236,997","124,624,191"
1992,"2,390,626","124,624,191"
1993,"2,392,580","124,624,191"
1994,"2,270,871","124,624,191"
1995,"2,430,162","124,624,191"
1996,"2,498,001","124,624,191"
1997,"2,445,534","124,624,191"
1998,"2,370,048","124,624,191"
1999,"2,449,664","124,624,191"
2000,"2,432,348","124,624,191"
2001,"2,217,779","124,624,191"
2002,"2,592,545","124,624,191"
2003,"2,458,792","124,624,191"
2004,"2,677,342","124,624,191"
2005,"2,586,665","124,624,191"
2006,"2,567,350","124,624,191"
2007,"2,657,281","124,624,191"
2008,"2,690,154","124,624,191"
2009,"2,735,402","124,624,191"
2010,"2,665,972","124,624,191"
2011,"2,825,505","124,624,191"
2012,"2,973,607","124,624,191"
2013,"2,807,387","124,624,191"
2014,"3,189,696","124,624,191"
2015,"3,648,846","124,624,191"
2016,"4,295,127","124,624,191"
2017,"4,504,812","124,624,191"
2018,"4,320,033","124,624,191"
2019,"4,488,268","124,624,191"

